RESPID,GENDER,AGE,WORKING,REGION,MUSIC,LIST_OWN,LIST_BACK,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
0,Female,82,,South,Music is important to me but not necessarily more important,,,11,9,29,7,8,7,8,10,51,49,8,10,9,9,9,10,28,,
1,Female,66,,North,Music is no longer as important as it used to be to me,0,,9,5,7,14,14,55,12,3,88,6,10,7,5,8,4,6,6,,
2,Male,65,,South,Music is important to me but not necessarily more important,,,1,52,1,1,1,1,1,1,100,1,1,1,1,1,1,1,52,,
3,Female,15,,North,Music means a lot to me and is a passion of mine,2,0,85,85,84,84,84,7,74,71,9,74,76,78,77,77,77,78,86,,
4,Male,14,,South,Music is important to me but not necessarily more important,1,0,71,71,33,59,6,28,93,92,8,29,55,71,9,70,7,9,91,,
5,Male,14,,Centre,Music is important to me but not necessarily more important,2,0,32,64,50,31,30,31,7,8,8,46,70,39,41,32,53,31,46,,
6,Male,66,,South,I like music but it does not feature heavily in my life,1,2,6,19,2,3,3,96,52,15,92,26,60,32,4,5,8,7,9,,
7,Male,13,,South,I like music but it does not feature heavily in my life,2,2,52,53,54,53,53,52,51,51,49,52,51,50,51,50,50,51,51,,
8,Male,66,,Centre,I like music but it does not feature heavily in my life,,,10,32,3,7,10,6,7,5,93,9,71,33,11,13,10,9,12,,
9,Female,13,,Centre,Music means a lot to me and is a passion of mine,4,2,89,89,94,9,11,10,12,12,12,93,12,12,89,90,90,90,90,,
10,Female,73,,Centre,Music is important to me but not necessarily more important,1,3,86,28,72,33,50,32,78,100,30,6,32,33,9,10,9,56,56,,
11,Female,13,,North,Music is important to me but not necessarily more important,2,2,34,71,57,78,7,25,99,37,39,73,92,92,73,92,57,7,93,,
12,Male,14,,South,Music is important to me but not necessarily more important,2,3,76,97,85,51,33,74,14,14,11,52,72,31,63,83,73,35,53,,
13,Female,71,,North,Music is important to me but not necessarily more important,1,,42,38,37,37,37,40,38,38,79,82,52,49,55,57,59,39,53,,
14,Female,68,,North,Music is no longer as important as it used to be to me,,,8,8,9,9,8,100,7,7,100,7,5,9,9,9,8,10,10,,
15,Male,20,,North,Music means a lot to me and is a passion of mine,1,1,44,65,85,23,16,70,74,81,9,68,39,17,80,87,59,25,73,,
16,Female,16,,South,Music means a lot to me and is a passion of mine,4,,59,65,80,30,25,45,65,66,72,72,48,49,48,82,82,53,45,,
17,Male,78,,Centre,Music is important to me but not necessarily more important,,2,2,3,3,1,3,91,1,2,73,6,62,47,47,48,3,2,2,,
18,Female,74,,Centre,I like music but it does not feature heavily in my life,0,2,7,48,7,6,8,48,50,31,7,28,61,62,8,29,8,10,55,,
19,Male,72,,South,I like music but it does not feature heavily in my life,,6,30,70,50,32,33,50,34,10,69,50,50,33,33,33,9,9,48,,
20,Female,72,,Centre,Music is important to me but not necessarily more important,,2,6,92,91,91,91,45,8,8,94,6,49,31,48,67,7,6,6,,
21,Male,63,,Centre,Music means a lot to me and is a passion of mine,2,4,98,95,92,9,47,96,91,29,97,100,99,95,100,100,74,92,93,,
22,Female,69,,North,Music is no longer as important as it used to be to me,,,3,3,3,100,100,3,3,3,100,3,2,3,1,2,3,2,3,,
23,Female,74,,Centre,Music has no particular interest for me,,,5,8,9,9,10,50,13,11,97,49,49,49,49,69,6,6,8,,
24,Male,14,,North,Music is important to me but not necessarily more important,1,,46,73,68,34,34,33,7,7,41,7,71,70,49,94,7,21,69,,
25,Male,13,,South,Music means a lot to me and is a passion of mine,,2,55,49,55,47,35,54,22,17,46,69,89,82,33,32,29,19,30,,
26,Female,65,,South,Music is important to me but not necessarily more important,0,0,70,48,47,26,28,31,4,6,94,52,53,30,6,30,13,12,50,,
27,Female,70,,South,I like music but it does not feature heavily in my life,,2,49,49,34,34,51,12,12,12,28,47,65,69,51,50,20,25,67,,
